"","village_district","Village","District","Province","Latitude","Longitude","Population size","dist_minutes_cat1","dist_minutes_cat3","2021","2022","order"
"1","ANGUILLA_ALTO NANAY","ANGUILLA","ALTO NANAY","Maynas",-73.66230434,-3.91247499,30,54,184,1,1,1
"2","BUENAVISTA_ALTO NANAY","BUENAVISTA","ALTO NANAY","Maynas",-73.75354,-3.51136,NA,NA,NA,3,1,2
"3","DIAMANTE AZUL_ALTO NANAY","DIAMANTE AZUL","ALTO NANAY","Maynas",-73.7794579,-3.9005405,425,0,177,140,46,3
"4","MIRAFLORES_ALTO NANAY","MIRAFLORES","ALTO NANAY","Maynas",-73.70085955,-3.778505,48,149,287,1,1,4
"5","MONTE CALVARIO_ALTO NANAY","MONTE CALVARIO","ALTO NANAY","Maynas",-73.71381645,-3.7605445,55,149,292,4,1,5
"6","NUEVO ATALAYA_ALTO NANAY","NUEVO ATALAYA","ALTO NANAY","Maynas",-73.8301539,-3.40843952,193,620,993,1,0,6
"7","NUEVO LORETO_ALTO NANAY","NUEVO LORETO","ALTO NANAY","Maynas",-73.73655706,-3.89705715,33,37,177,8,23,7
"8","NUEVO PORVENIR_ALTO NANAY","NUEVO PORVENIR","ALTO NANAY","Maynas",-74.13184714,-3.08395139,50,1340,1713,1,2,8
"9","PISCO_ALTO NANAY","PISCO","ALTO NANAY","Maynas",-73.7136298,-3.89052285,75,14,154,8,8,9
"10","PISCO_ALTO NANAY","PISCO","ALTO NANAY","Maynas",-73.79197365,-3.90494164,75,14,154,8,8,9
"11","PUCA URCO_ALTO NANAY","PUCA URCO","ALTO NANAY","Maynas",-74.05514498,-3.80367537,172,328,468,14,84,10
"12","SABOYA_ALTO NANAY","SABOYA","ALTO NANAY","Maynas",-73.70268164,-3.82029288,72,103,240,6,18,11
"13","SALVADOR (PAVA QUEVADA)_ALTO NANAY","SALVADOR (PAVA QUEVADA)","ALTO NANAY","Maynas",-73.90014383,-3.89107522,95,31,171,0,3,12
"14","SAMITO_ALTO NANAY","SAMITO","ALTO NANAY","Maynas",-73.61331156,-3.86555406,438,18,483,13,68,13
"15","SAN JUAN DE RAYA_ALTO NANAY","SAN JUAN DE RAYA","ALTO NANAY","Maynas",-73.68992439,-3.8557118,58,68,205,0,0,14
"16","SANTA MARIA DE NANAY_ALTO NANAY","SANTA MARIA DE NANAY","ALTO NANAY","Maynas",-73.69651569,-3.88816299,762,NA,NA,133,86,15
"17","TRIUNFO_ALTO NANAY","TRIUNFO","ALTO NANAY","Maynas",-73.67049165,-3.79598527,17,725,1097,0,0,16
"18","VILLA FLOR_ALTO NANAY","VILLA FLOR","ALTO NANAY","Maynas",-73.81011521,-3.4320575,113,568,941,3,0,17
"19","AYACUCHO_IQUITOS","AYACUCHO","IQUITOS","Maynas",-73.51997526,-3.83039786,22,18,637,0,5,18
"20","FRAY MARTIN_IQUITOS","FRAY MARTIN","IQUITOS","Maynas",-73.38177373,-3.690831489,57,NA,NA,0,4,19
"21","HUATURI_IQUITOS","HUATURI","IQUITOS","Maynas",-73.40501226,-3.77558485,NA,NA,NA,3,16,20
"22","LAGUNAS_IQUITOS","LAGUNAS","IQUITOS","Maynas",-73.58350328,-3.85636014,50,129,554,6,3,21
"23","LIBERTAD_IQUITOS","LIBERTAD","IQUITOS","Maynas",-73.45891341,-3.81895993,264,248,354,3,31,22
"24","LOBOYACU_IQUITOS","LOBOYACU","IQUITOS","Maynas",-73.39004191,-3.75148644,83,90,206,1,13,23
"25","MANACAMIRI_IQUITOS","MANACAMIRI","IQUITOS","Maynas",-73.28367097,-3.71812322,529,0,50,1,2,24
"26","MARAVILLA_IQUITOS","MARAVILLA","IQUITOS","Maynas",-73.57241106,-3.8590005,86,223,632,6,16,25
"27","SAN PABLO DE CUYANA_IQUITOS","SAN PABLO DE CUYANA","IQUITOS","Maynas",-73.3764498,-3.76628772,175,NA,NA,8,2,26
"28","SHIRIARA_IQUITOS","SHIRIARA","IQUITOS","Maynas",-73.49553347,-3.83474047,302,138,604,2,20,27
"29","TARAPOTO_IQUITOS","TARAPOTO","IQUITOS","Maynas",-73.40571852,-3.80483258,165,0,106,0,10,28
"30","YARINA_IQUITOS","YARINA","IQUITOS","Maynas",-73.56052418,-3.84531483,58,211,653,0,2,29
"31","AGRARIO DE SHIMBILLO_PUNCHANA","AGRARIO DE SHIMBILLO","PUNCHANA","Maynas",-73.48391838,-3.52177535,15,NA,NA,0,0,30
"32","ALMIRANTE MIGUEL GRAU_PUNCHANA","ALMIRANTE MIGUEL GRAU","PUNCHANA","Maynas",-73.37300504,-3.57046308,28,249,369,0,3,31
"33","FLOR DE AGOSTO_PUNCHANA","FLOR DE AGOSTO","PUNCHANA","Maynas",-73.34517844,-3.63324797,47,55,175,1,6,32
"34","FRAY MARTIN_PUNCHANA","FRAY MARTIN","PUNCHANA","Maynas",-73.38177373,-3.690831489,57,NA,NA,0,1,33
"35","HIPOLITO UNANUE_PUNCHANA","HIPOLITO UNANUE","PUNCHANA","Maynas",-73.34883972,-3.60758829,26,64,184,2,9,34
"36","MAYNAS_PUNCHANA","MAYNAS","PUNCHANA","Maynas",-73.44445239,-3.48313529,132,54,868,0,9,35
"37","MOMONCILLO_PUNCHANA","MOMONCILLO","PUNCHANA","Maynas",-73.26928472,-3.67263588,137,48,60,0,12,36
"38","NUEVA PRIMAVERA_PUNCHANA","NUEVA PRIMAVERA","PUNCHANA","Maynas",-73.40756188,-3.70172273,35,317,433,1,11,37
"39","NUEVA YORK_PUNCHANA","NUEVA YORK","PUNCHANA","Maynas",-73.46697808,-3.45323033,145,205,1018,2,20,38
"40","NUEVO PARAISO_PUNCHANA","NUEVO PARAISO","PUNCHANA","Maynas",-73.46431116,-3.63671494,54,532,652,0,1,39
"41","NUEVO SAN ANTONIO_PUNCHANA","NUEVO SAN ANTONIO","PUNCHANA","Maynas",-73.33319476,-3.64587537,87,23,143,0,9,40
"42","PORVENIR_PUNCHANA","PORVENIR","PUNCHANA","Maynas",-73.29681417,-3.6566504,86,27,109,0,26,41
"43","PROGRESO I ZONA_PUNCHANA","PROGRESO I ZONA","PUNCHANA","Maynas",-73.32574,-3.67066215,42,NA,NA,1,1,42
"44","PUERTO ALICIA_PUNCHANA","PUERTO ALICIA","PUNCHANA","Maynas",-73.37837778,-3.52795441,86,153,564,1,7,43
"45","PUNTO ALEGRE_PUNCHANA","PUNTO ALEGRE","PUNCHANA","Maynas",-73.42590303,-3.49859688,241,53,761,42,34,44
"46","ROCA FUERTE_PUNCHANA","ROCA FUERTE","PUNCHANA","Maynas",-73.3388814,-3.61547109,34,46,166,1,11,45
"47","SAN ANTONIO_PUNCHANA","SAN ANTONIO","PUNCHANA","Maynas",-73.25994,-3.627738333,70,72,88,0,3,46
"48","SAN FERNANDO_PUNCHANA","SAN FERNANDO","PUNCHANA","Maynas",-73.26739987,-3.69545264,102,14,36,0,0,47
"49","SAN LUIS DE VISTA ALEGRE_PUNCHANA","SAN LUIS DE VISTA ALEGRE","PUNCHANA","Maynas",-73.38680372,-3.52532213,173,127,579,2,21,48
"50","SANTA ROSA_PUNCHANA","SANTA ROSA","PUNCHANA","Maynas",-73.30787923,-3.65130349,45,8,111,0,14,49
"51","SANTO TOMAS DE CAPIRONAL_PUNCHANA","SANTO TOMAS DE CAPIRONAL","PUNCHANA","Maynas",-73.36174061,-3.57877907,78,197,317,1,6,50
"52","SARGENTO LORES_PUNCHANA","SARGENTO LORES","PUNCHANA","Maynas",-73.40008209,-3.51080327,238,49,658,35,11,51
"53","UNION FAMILIAR_PUNCHANA","UNION FAMILIAR","PUNCHANA","Maynas",-73.38096847,-3.54480853,53,205,496,0,7,52
"54","12 DE ABRIL_SAN JUAN BAUTISTA","12 DE ABRIL","SAN JUAN BAUTISTA","Maynas",-73.4838013,-4.21977635,211,26,98,5,0,53
"55","12 DE OCTUBRE_SAN JUAN BAUTISTA","12 DE OCTUBRE","SAN JUAN BAUTISTA","Maynas",-73.54839622,-4.24624634,97,NA,NA,2,0,54
"56","13 DE FEBRERO_SAN JUAN BAUTISTA","13 DE FEBRERO","SAN JUAN BAUTISTA","Maynas",-73.43294795,-4.02103626,576,6,70,3,4,55
"57","15 DE ABRIL_SAN JUAN BAUTISTA","15 DE ABRIL","SAN JUAN BAUTISTA","Maynas",-73.59819757,-3.92109758,58,892,1007,1,2,56
"58","3 DE OCTUBRE_SAN JUAN BAUTISTA","3 DE OCTUBRE","SAN JUAN BAUTISTA","Maynas",-73.36157189,-3.966216175,90,17,62,1,0,57
"59","5 DE JUNIO_SAN JUAN BAUTISTA","5 DE JUNIO","SAN JUAN BAUTISTA","Maynas",-73.39317678,-4.00354485,40,NA,NA,1,0,58
"60","ANGEL CARDENAS_SAN JUAN BAUTISTA","ANGEL CARDENAS","SAN JUAN BAUTISTA","Maynas",-73.42725437,-4.04977897,113,NA,NA,0,1,59
"61","CAHUIDE_SAN JUAN BAUTISTA","CAHUIDE","SAN JUAN BAUTISTA","Maynas",-73.48777991,-4.23102361,639,29,100,2,3,60
"62","EL DORADO_SAN JUAN BAUTISTA","EL DORADO","SAN JUAN BAUTISTA","Maynas",-73.40452348,-3.95367547,138,12,57,1,1,61
"63","EL TRIUNFO_SAN JUAN BAUTISTA","EL TRIUNFO","SAN JUAN BAUTISTA","Maynas",-73.47422431,-4.15412791,325,17,89,0,2,62
"64","EX PETROLERO I ZONA_SAN JUAN BAUTISTA","EX PETROLERO I ZONA","SAN JUAN BAUTISTA","Maynas",-73.45320074,-4.09183465,489,NA,NA,2,15,63
