"","lambda0","reduction","lambda1","zalpha","zbeta","k","csize","hcsize","nclust","arm.size","total.size","OR"
"1",73.1838580430867,0.1,65.865472238778,1.96,0.8,0.699446486568092,269,119,676,181844,363688,1.00154165223113
"2",73.1838580430867,0.125,64.0358757877009,1.96,0.8,0.699446486568092,269,119,423,113787,227574,1.00198299775228
"3",73.1838580430867,0.25,54.887893532315,1.96,0.8,0.699446486568092,269,119,95,25555,51110,1.00463926094736
"4",73.1838580430867,0.375,45.7399112769292,1.96,0.8,0.699446486568092,269,119,38,10222,20444,1.00838177790919
"5",73.1838580430867,0.5,36.5919290215434,1.96,0.8,0.699446486568092,269,119,20,5380,10760,1.01404812871192
"6",73.1838580430867,0.6,29.2735432172347,1.96,0.8,0.699446486568092,269,119,14,3766,7532,1.02122125251123
"7",73.1838580430867,0.65,25.6143503150803,1.96,0.8,0.699446486568092,269,119,11,2959,5918,1.02640735959632
"8",73.1838580430867,0.7,21.955157412926,1.96,0.8,0.699446486568092,269,119,10,2690,5380,1.03340466436049
"9",73.1838580430867,0.75,18.2959645107717,1.96,0.8,0.699446486568092,269,119,9,2421,4842,1.04336271617191
"10",73.1838580430867,0.8,14.6367716086173,1.96,0.8,0.699446486568092,269,119,8,2152,4304,1.05866491153188
"11",73.1838580430867,0.85,10.977578706463,1.96,0.8,0.699446486568092,269,119,7,1883,3766,1.08519100926254
"12",73.1838580430867,0.9,7.31838580430867,1.96,0.8,0.699446486568092,269,119,6,1614,3228,1.14244144436167
"13",73.1838580430867,0.95,3.65919290215434,1.96,0.8,0.699446486568092,269,119,6,1614,3228,1.35725125440518
