village_district,Village,District,Province,Latitude,Longitude,Population size,dist_minutes_cat1,dist_minutes_cat3,2021,2022,order,ipa.2021,ipa.2022
DIAMANTE AZUL_ALTO NANAY,DIAMANTE AZUL,ALTO NANAY,Maynas,-73.7794579,-3.9005405,425,0,177,140,46,3,329.411764705882,108.235294117647
PISCO_ALTO NANAY,PISCO,ALTO NANAY,Maynas,-73.7136298,-3.89052285,75,14,154,8,8,9,106.666666666667,106.666666666667
SALVADOR (PAVA QUEVADA)_ALTO NANAY,SALVADOR (PAVA QUEVADA),ALTO NANAY,Maynas,-73.90014383,-3.89107522,95,31,171,0,3,12,0,31.5789473684211
SAMITO_ALTO NANAY,SAMITO,ALTO NANAY,Maynas,-73.61331156,-3.86555406,438,18,483,13,68,13,29.6803652968037,155.251141552511
FRAY MARTIN_IQUITOS,FRAY MARTIN,IQUITOS,Maynas,-73.38177373,-3.690831489,57,317,433,0,4,19,0,70.1754385964912
HUATURI_IQUITOS,HUATURI,IQUITOS,Maynas,-73.40501226,-3.77558485,129,0,106,3,16,20,23.2558139534884,124.031007751938
LIBERTAD_IQUITOS,LIBERTAD,IQUITOS,Maynas,-73.45891341,-3.81895993,264,248,354,3,31,22,11.3636363636364,117.424242424242
LOBOYACU_IQUITOS,LOBOYACU,IQUITOS,Maynas,-73.39004191,-3.75148644,83,90,206,1,13,23,12.0481927710843,156.626506024096
TARAPOTO_IQUITOS,TARAPOTO,IQUITOS,Maynas,-73.40571852,-3.80483258,165,0,106,0,10,28,0,60.6060606060606
ALMIRANTE MIGUEL GRAU_PUNCHANA,ALMIRANTE MIGUEL GRAU,PUNCHANA,Maynas,-73.37300504,-3.57046308,28,249,369,0,3,31,0,107.142857142857
FLOR DE AGOSTO_PUNCHANA,FLOR DE AGOSTO,PUNCHANA,Maynas,-73.34517844,-3.63324797,47,55,175,1,6,32,21.2765957446809,127.659574468085
MOMONCILLO_PUNCHANA,MOMONCILLO,PUNCHANA,Maynas,-73.26928472,-3.67263588,137,48,60,0,12,36,0,87.5912408759124
NUEVO SAN ANTONIO_PUNCHANA,NUEVO SAN ANTONIO,PUNCHANA,Maynas,-73.33319476,-3.64587537,87,23,143,0,9,40,0,103.448275862069
SAN ANTONIO_PUNCHANA,SAN ANTONIO,PUNCHANA,Maynas,-73.25994,-3.627738333,70,72,88,0,3,46,0,42.8571428571429
SANTO TOMAS DE CAPIRONAL_PUNCHANA,SANTO TOMAS DE CAPIRONAL,PUNCHANA,Maynas,-73.36174061,-3.57877907,78,197,317,1,6,50,12.8205128205128,76.9230769230769
UNION FAMILIAR_PUNCHANA,UNION FAMILIAR,PUNCHANA,Maynas,-73.38096847,-3.54480853,53,205,496,0,7,52,0,132.075471698113
13 DE FEBRERO_SAN JUAN BAUTISTA,13 DE FEBRERO,SAN JUAN BAUTISTA,Maynas,-73.43294795,-4.02103626,576,6,70,3,4,55,5.20833333333333,6.94444444444444
CAHUIDE_SAN JUAN BAUTISTA,CAHUIDE,SAN JUAN BAUTISTA,Maynas,-73.48777991,-4.23102361,639,29,100,2,3,60,3.12989045383412,4.69483568075117
EX PETROLERO I ZONA_SAN JUAN BAUTISTA,EX PETROLERO I ZONA,SAN JUAN BAUTISTA,Maynas,-73.45320074,-4.09183465,489,8,80,2,15,63,4.08997955010225,30.6748466257669
MISHANA_SAN JUAN BAUTISTA,MISHANA,SAN JUAN BAUTISTA,Maynas,-73.49216646,-3.88150894,62,429,476,0,3,67,0,48.3870967741936
MORALILLO_SAN JUAN BAUTISTA,MORALILLO,SAN JUAN BAUTISTA,Maynas,-73.33875707,-3.91011222,396,4,49,0,7,68,0,17.6767676767677
NINA RUMI_SAN JUAN BAUTISTA,NINA RUMI,SAN JUAN BAUTISTA,Maynas,-73.38648037,-3.84512812,649,0,53,6,72,69,9.24499229583975,110.939907550077
NUEVO HORIZONTE_SAN JUAN BAUTISTA,NUEVO HORIZONTE,SAN JUAN BAUTISTA,Maynas,-73.44612307,-4.07150914,316,3,75,0,7,71,0,22.1518987341772
NUEVO MILAGRO_SAN JUAN BAUTISTA,NUEVO MILAGRO,SAN JUAN BAUTISTA,Maynas,-73.37414075,-3.93885069,165,9,54,0,6,72,0,36.3636363636364
PALO SECO_SAN JUAN BAUTISTA,PALO SECO,SAN JUAN BAUTISTA,Maynas,-73.37134055,-4.00353959,94,112,171,0,3,76,0,31.9148936170213
PAUJIL I ZONA_SAN JUAN BAUTISTA,PAUJIL I ZONA,SAN JUAN BAUTISTA,Maynas,-73.43779829,-4.04225443,135,3,75,0,12,78,0,88.8888888888889
PAUJIL II ZONA_SAN JUAN BAUTISTA,PAUJIL II ZONA,SAN JUAN BAUTISTA,Maynas,-73.43779829,-4.04225443,135,3,75,0,8,79,0,59.2592592592593
PEÑA NEGRA_SAN JUAN BAUTISTA,PEÑA NEGRA,SAN JUAN BAUTISTA,Maynas,-73.33817614,-3.86343656,367,3,48,0,9,80,0,24.5231607629428
PUERTO ALMENDRA_SAN JUAN BAUTISTA,PUERTO ALMENDRA,SAN JUAN BAUTISTA,Maynas,-73.37823118,-3.83100579,227,6,46,1,28,82,4.40528634361233,123.348017621145
