"village_district","Village","District","Province","Latitude","Longitude","Population size","dist_minutes_cat1","dist_minutes_cat3","2021","2022","order","ipa.2021","ipa.2022","randomizationArm 2","randomizationArm 11","randomizationArm 36","randomizationArm 54","randomizationArm 70","randomizationArm 84","randomizationArm 105","randomizationArm 170","randomizationArm 196","randomizationArm 206","randomizationArm 207","randomizationArm 216","randomizationArm 263","randomizationArm 300","randomizationArm 328","randomizationArm 344","randomizationArm 362","randomizationArm 395","randomizationArm 397","randomizationArm 418","randomizationArm 425","randomizationArm 436","randomizationArm 451","randomizationArm 465","randomizationArm 489","randomizationArm 496","randomizationArm 508","randomizationArm 516","randomizationArm 527","randomizationArm 547","randomizationArm 563","randomizationArm 565","randomizationArm 597","randomizationArm 609","randomizationArm 616","randomizationArm 637","randomizationArm 640","randomizationArm 641","randomizationArm 655","randomizationArm 658","randomizationArm 662","randomizationArm 666","randomizationArm 667","randomizationArm 682","randomizationArm 697","randomizationArm 702","randomizationArm 704","randomizationArm 712","randomizationArm 799","randomizationArm 804","randomizationArm 833","randomizationArm 844","randomizationArm 869","randomizationArm 874","randomizationArm 887","randomizationArm 929","randomizationArm 932","randomizationArm 947","randomizationArm 950","randomizationArm 951","randomizationArm 952","randomizationArm 955","randomizationArm 974","randomizationArm 1026","randomizationArm 1037","randomizationArm 1063","randomizationArm 1101","randomizationArm 1114","randomizationArm 1121","randomizationArm 1124","randomizationArm 1130","randomizationArm 1134","randomizationArm 1177","randomizationArm 1189","randomizationArm 1220","randomizationArm 1225","randomizationArm 1260","randomizationArm 1298","randomizationArm 1310","randomizationArm 1325","randomizationArm 1329","randomizationArm 1336","randomizationArm 1338","randomizationArm 1349","randomizationArm 1360","randomizationArm 1363","randomizationArm 1384","randomizationArm 1390","randomizationArm 1416","randomizationArm 1441","randomizationArm 1498","randomizationArm 1507","randomizationArm 1561","randomizationArm 1569","randomizationArm 1576","randomizationArm 1584","randomizationArm 1617","randomizationArm 1622","randomizationArm 1636","randomizationArm 1664","randomizationArm 1712","randomizationArm 1718","randomizationArm 1769","randomizationArm 1772","randomizationArm 1781","randomizationArm 1809","randomizationArm 1833","randomizationArm 1841","randomizationArm 1847","randomizationArm 1857","randomizationArm 1859","randomizationArm 1867","randomizationArm 1891","randomizationArm 1892","randomizationArm 1904","randomizationArm 1913","randomizationArm 1944","randomizationArm 1951","randomizationArm 1960","randomizationArm 1985","randomizationArm 2034","randomizationArm 2051","randomizationArm 2088","randomizationArm 2090","randomizationArm 2093","randomizationArm 2098","randomizationArm 2099","randomizationArm 2111","randomizationArm 2127","randomizationArm 2143","randomizationArm 2180","randomizationArm 2194","randomizationArm 2233","randomizationArm 2235","randomizationArm 2259","randomizationArm 2292","randomizationArm 2297","randomizationArm 2321","randomizationArm 2324","randomizationArm 2363","randomizationArm 2369","randomizationArm 2371","randomizationArm 2373","randomizationArm 2399","randomizationArm 2440","randomizationArm 2441","randomizationArm 2465","randomizationArm 2513","randomizationArm 2540","randomizationArm 2542","randomizationArm 2593","randomizationArm 2604","randomizationArm 2605","randomizationArm 2643","randomizationArm 2650","randomizationArm 2653","randomizationArm 2657","randomizationArm 2661","randomizationArm 2664","randomizationArm 2668","randomizationArm 2684","randomizationArm 2687","randomizationArm 2713","randomizationArm 2760","randomizationArm 2777","randomizationArm 2785","randomizationArm 2789","randomizationArm 2824","randomizationArm 2857","randomizationArm 2861","randomizationArm 2888","randomizationArm 2902","randomizationArm 2934","randomizationArm 2962","randomizationArm 2983"
"DIAMANTE AZUL_ALTO NANAY","DIAMANTE AZUL","ALTO NANAY","Maynas",-73.7794579,-3.9005405,425,0,177,140,46,3,329.411764705882,108.235294117647,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2
"PISCO_ALTO NANAY","PISCO","ALTO NANAY","Maynas",-73.7136298,-3.89052285,75,14,154,8,8,9,106.666666666667,106.666666666667,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2
"SALVADOR (PAVA QUEVADA)_ALTO NANAY","SALVADOR (PAVA QUEVADA)","ALTO NANAY","Maynas",-73.90014383,-3.89107522,95,31,171,0,3,12,0,31.5789473684211,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1
"SAMITO_ALTO NANAY","SAMITO","ALTO NANAY","Maynas",-73.61331156,-3.86555406,438,18,483,13,68,13,29.6803652968037,155.251141552511,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1
"FRAY MARTIN_IQUITOS","FRAY MARTIN","IQUITOS","Maynas",-73.38177373,-3.690831489,57,317,433,0,4,19,0,70.1754385964912,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2
"HUATURI_IQUITOS","HUATURI","IQUITOS","Maynas",-73.40501226,-3.77558485,129,0,106,3,16,20,23.2558139534884,124.031007751938,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,2
"LIBERTAD_IQUITOS","LIBERTAD","IQUITOS","Maynas",-73.45891341,-3.81895993,264,248,354,3,31,22,11.3636363636364,117.424242424242,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1
"LOBOYACU_IQUITOS","LOBOYACU","IQUITOS","Maynas",-73.39004191,-3.75148644,83,90,206,1,13,23,12.0481927710843,156.626506024096,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1
"TARAPOTO_IQUITOS","TARAPOTO","IQUITOS","Maynas",-73.40571852,-3.80483258,165,0,106,0,10,28,0,60.6060606060606,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,2
"ALMIRANTE MIGUEL GRAU_PUNCHANA","ALMIRANTE MIGUEL GRAU","PUNCHANA","Maynas",-73.37300504,-3.57046308,28,249,369,0,3,31,0,107.142857142857,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1
