village_district,order,village,district,province,basin,selected,dist_iquitos,population,access,pfal2013,pmal2013,pviv2013,malaria2013,pfal2014,pmal2014,pviv2014,malaria2014,pfal2015,pmal2015,pviv2015,malaria2015,pfal2016,pmal2016,pviv2016,malaria2016,pfal2017,pviv2017,malaria2017,pfal2018,pviv2018,malaria2018,pfal2019,pviv2019,malaria2019,api.pfal2013,api.pfal2014,api.pfal2015,api.pfal2016,api.pfal2017,api.pfal2018,api.pfal2019,api.pmal2013,api.pmal2014,api.pmal2015,api.pmal2016,api.pviv2013,api.pviv2014,api.pviv2015,api.pviv2016,api.pviv2017,api.pviv2018,api.pviv2019,api.malaria2013,api.malaria2014,api.malaria2015,api.malaria2016,api.malaria2017,api.malaria2018,api.malaria2019,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,pop2k,pop5k
NUEVO VERSALLES_IQUITOS,1,NUEVO VERSALLES,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2590562,-3.732733,8,24,28,8,1,13,Pajonal andino,Pj,1214.311626,3944.206035
NUEVO VERSALLES_PUNCHANA,2,NUEVO VERSALLES,PUNCHANA,MAYNAS,Nanay,No,NA,NA,NA,0,0,1,1,0,0,4,4,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.26329825,-3.72253226,14,30,34,14,1,13,Matorral arbustivo,Ma,915.0694092,3540.993718
FERNANDO BELAUNDE TERRY_IQUITOS,3,FERNANDO BELAUNDE TERRY,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2638021,-3.73207631,NA,NA,NA,NA,NA,NA,NA,NA,1052.738905,3968.673223
VARGAS GUERRA_IQUITOS,4,VARGAS GUERRA,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,2,2,0,0,4,4,0,0,5,5,0,5,5,0,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.26705957,-3.75611477,23,7,7,7,1,13,Matorral arbustivo,Ma,1114.144176,4836.297425
NUEVO SAN FERNANDO_PUNCHANA,5,NUEVO SAN FERNANDO,PUNCHANA,MAYNAS,Nanay,No,NA,102,NA,0,0,11,11,1,0,12,13,0,0,5,5,3,0,2,5,0,2,2,0,6,6,0,2,2,0,9.803921569,0,29.41176471,0,0,0,0,0,0,0,107.8431373,117.6470588,49.01960784,19.60784314,19.60784314,58.82352941,19.60784314,107.8431373,127.4509804,49.01960784,49.01960784,19.60784314,58.82352941,19.60784314,-73.26739987,-3.69545264,36,31,14,14,0,17,Agricultura costera y andina,Agri,523.1133377,2883.885806
MUNICH_IQUITOS,6,MUNICH,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2709044,-3.7330614,20,35,34,20,1,13,Pajonal andino,Pj,870.5547069,4151.798441
MICAELA BASTIDAS_IQUITOS,7,MICAELA BASTIDAS,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,0,0,5,5,2,0,23,25,0,0,6,6,1,0,9,10,0,7,7,1,22,23,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.27219449,-3.75883036,20,4,3,3,1,13,Matorral arbustivo,Ma,1091.382608,5030.512332
CASTAÑAL PAMPACHICA_SAN JUAN BAUTISTA,8,CASTAÑAL PAMPACHICA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,0,0,5,5,1,0,25,26,0,0,2,2,2,0,10,12,1,3,4,4,11,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.27255217,-3.76185695,NA,NA,NA,NA,NA,NA,NA,NA,1123.044138,5024.710253
TUPAC AMARU_IQUITOS,9,TUPAC AMARU,IQUITOS,MAYNAS,Nanay,No,4434,NA,NA,0,0,6,6,0,0,23,23,0,0,11,11,0,0,13,13,1,2,3,3,19,22,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.27268311,-3.75669695,21,5,4,4,1,13,Pajonal andino,Pj,1071.97463,5018.162267
ANITA CABRERA_SAN JUAN BAUTISTA,10,ANITA CABRERA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,0,0,1,1,0,0,5,5,1,0,5,6,0,0,2,2,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.27460164,-3.76419415,19,3,2,2,1,13,Areas de no bosque amazï¿½nico,Ano,1151.370789,5078.610987
