Codigo,Comunidad,district,census_people,baseline_people,census_households,baseline_households,census_people_gps,census_households_gps,baseline_people_gps,baseline_households_gps
7,DIAMANTE AZUL,Alto Nanay,359,270,88,106,338,82,270,106
21,SALVADOR (PAVA QUEVADA),Alto Nanay,51,43,15,17,51,15,43,17
20,HUATURI,Iquitos,79,68,26,32,78,25,68,32
27,SAN ANTONIO,Punchana,96,82,27,36,96,27,82,36
31,FLOR DE AGOSTO,Punchana,22,23,8,11,21,7,23,11
32,ALMIRANTE MIGUEL GRAU,Punchana,17,17,4,4,7,2,17,4
2,ZUNGARO COCHA,San Juan Bautista,516,514,140,186,515,139,505,183
3,CAHUIDE,San Juan Bautista,565,428,138,197,545,134,428,197
5,EX PETROLERO I ZONA,San Juan Bautista,578,391,134,166,526,118,391,166
10,PEÑA NEGRA,San Juan Bautista,528,391,135,165,484,123,391,165
11,NUEVO HORIZONTE,San Juan Bautista,185,113,47,54,172,41,113,54
13,PUERTO ALMENDRA,San Juan Bautista,203,127,51,51,203,51,127,51
16,SAN ANTONIO,San Juan Bautista,145,88,41,42,145,41,88,42
18,PAUJIL I ZONA,San Juan Bautista,116,63,50,28,103,32,63,28
28,MISHANA,San Juan Bautista,57,39,18,19,57,18,39,19
