Codigo,Comunidad,district,census_households,census_people,baseline_people,baseline_households
7,DIAMANTE AZUL,Alto Nanay,88,359,270,106
21,SALVADOR (PAVA QUEVADA),Alto Nanay,15,51,43,17
20,HUATURI,Iquitos,26,79,68,32
27,SAN ANTONIO,Punchana,27,96,82,36
31,FLOR DE AGOSTO,Punchana,8,22,23,11
32,ALMIRANTE MIGUEL GRAU,Punchana,4,17,17,4
2,ZUNGARO COCHA,San Juan Bautista,140,516,514,186
3,CAHUIDE,San Juan Bautista,138,565,428,197
5,EX PETROLERO I ZONA,San Juan Bautista,134,578,391,166
10,PEÑA NEGRA,San Juan Bautista,135,528,391,165
11,NUEVO HORIZONTE,San Juan Bautista,47,185,113,54
13,PUERTO ALMENDRA,San Juan Bautista,51,203,127,51
16,SAN ANTONIO,San Juan Bautista,41,145,88,42
18,PAUJIL I ZONA,San Juan Bautista,50,116,63,28
28,MISHANA,San Juan Bautista,18,57,39,19
