Codigo,Comunidad,district,n_people_baseline,n_households_baseline
7,DIAMANTE AZUL,Alto Nanay,270,106
21,SALVADOR (PAVA QUEVADA),Alto Nanay,43,17
20,HUATURI,Iquitos,68,32
27,SAN ANTONIO,Punchana,82,36
31,FLOR DE AGOSTO,Punchana,23,11
32,ALMIRANTE MIGUEL GRAU,Punchana,17,4
2,ZUNGARO COCHA,San Juan Bautista,514,186
3,CAHUIDE,San Juan Bautista,428,197
5,EX PETROLERO I ZONA,San Juan Bautista,391,166
10,PEÑA NEGRA,San Juan Bautista,391,165
11,NUEVO HORIZONTE,San Juan Bautista,113,54
13,PUERTO ALMENDRA,San Juan Bautista,127,51
16,SAN ANTONIO,San Juan Bautista,88,42
18,PAUJIL I ZONA,San Juan Bautista,63,28
28,MISHANA,San Juan Bautista,39,19
