Codigo,Comunidad,district,n_households,n_people
7,DIAMANTE AZUL,Alto Nanay,88,359
21,SALVADOR (PAVA QUEVADA),Alto Nanay,15,51
20,HUATURI,Iquitos,26,79
27,SAN ANTONIO,Punchana,27,96
31,FLOR DE AGOSTO,Punchana,8,22
32,ALMIRANTE MIGUEL GRAU,Punchana,4,17
2,ZUNGARO COCHA,San Juan Bautista,140,516
3,CAHUIDE,San Juan Bautista,138,565
5,EX PETROLERO I ZONA,San Juan Bautista,134,578
10,PEÑA NEGRA,San Juan Bautista,135,528
11,NUEVO HORIZONTE,San Juan Bautista,47,185
13,PUERTO ALMENDRA,San Juan Bautista,51,203
16,SAN ANTONIO,San Juan Bautista,41,145
18,PAUJIL I ZONA,San Juan Bautista,50,116
28,MISHANA,San Juan Bautista,18,57
