Codigo,Comunidad,district,province,lat,long,populationsize
7,DIAMANTE AZUL,Alto Nanay,Maynas,-3.90054059028625,-73.7794570922852,425
21,SALVADOR (PAVA QUEVADA),Alto Nanay,Maynas,-3.89107513427734,-73.900146484375,95
20,HUATURI,Iquitos,Maynas,-3.77558493614197,-73.4050140380859,129
27,SAN ANTONIO,Punchana,Maynas,-3.62773823738098,-73.2599411010742,70
31,FLOR DE AGOSTO,Punchana,Maynas,-3.63324785232544,-73.3451766967773,47
32,ALMIRANTE MIGUEL GRAU,Punchana,Maynas,-3.57046318054199,-73.3730087280273,28
2,ZUNGARO COCHA,San Juan Bautista,Maynas,-3.82805967330933,-73.3551864624023,645
3,CAHUIDE,San Juan Bautista,Maynas,-4.23102378845215,-73.4877777099609,639
5,EX PETROLERO I ZONA,San Juan Bautista,Maynas,-4.0918345451355,-73.4532012939453,489
10,PEÑA NEGRA,San Juan Bautista,Maynas,-3.863436460495,-73.3381729125977,367
11,NUEVO HORIZONTE,San Juan Bautista,Maynas,-4.07150936126709,-73.4461212158203,316
13,PUERTO ALMENDRA,San Juan Bautista,Maynas,-3.83100581169128,-73.3782348632812,227
16,SAN ANTONIO,San Juan Bautista,Maynas,-4.02635192871094,-73.3796157836914,158
18,PAUJIL I ZONA,San Juan Bautista,Maynas,-4.04225444793701,-73.4377975463867,135
28,MISHANA,San Juan Bautista,Maynas,-3.88150882720947,-73.4921646118164,62
