autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_hh_yn,appr_hh_not,appr_hh_not_other,appr_n_accpt,appr_n_rfs,appr_rfs_rsn_1,appr_rfs_rsn_other_1,appr_rfs_rsn_2,appr_rfs_rsn_other_2,appr_rfs_rsn_3,appr_rfs_rsn_other_3,appr_rfs_rsn_4,appr_rfs_rsn_other_4,appr_rfs_rsn_5,appr_rfs_rsn_other_5,appr_rfs_rsn_6,appr_rfs_rsn_other_6,appr_rfs_rsn_7,appr_rfs_rsn_other_7,appr_rfs_rsn_8,appr_rfs_rsn_other_8,appr_rfs_rsn_9,appr_rfs_rsn_other_9,appr_rfs_rsn_10,appr_rfs_rsn_other_10,appr_rfs_rsn_11,appr_rfs_rsn_other_11,appr_rfs_rsn_12,appr_rfs_rsn_other_12,abordaje_vivienda_complete
1,baseline_visit_arm_1,,,22,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,baseline_visit_arm_1,,,22,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,baseline_visit_arm_1,,,22,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,baseline_visit_arm_1,,,22,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,baseline_visit_arm_1,,,22,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,baseline_visit_arm_1,,,22,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,baseline_visit_arm_1,,,22,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,baseline_visit_arm_1,,,22,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,baseline_visit_arm_1,,,22,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,baseline_visit_arm_1,,,22,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11,baseline_visit_arm_1,,,22,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
12,baseline_visit_arm_1,,,22,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,baseline_visit_arm_1,,,22,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
14,baseline_visit_arm_1,,,22,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
15,baseline_visit_arm_1,,,22,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
16,baseline_visit_arm_1,,,22,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
17,baseline_visit_arm_1,,,22,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
18,baseline_visit_arm_1,,,22,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
19,baseline_visit_arm_1,,,22,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
20,baseline_visit_arm_1,,,13,169,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2
21,baseline_visit_arm_1,,,13,150,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2
22,baseline_visit_arm_1,,,13,128,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2
23,baseline_visit_arm_1,,,13,160,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2
24,baseline_visit_arm_1,,,13,144,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2
25,baseline_visit_arm_1,,,13,129,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2
26,baseline_visit_arm_1,,,13,450,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,2
27,baseline_visit_arm_1,,,13,142,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2
28,baseline_visit_arm_1,,,13,137,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2
29,baseline_visit_arm_1,,,13,131,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2
31,baseline_visit_arm_1,,,13,167,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2
32,baseline_visit_arm_1,,,13,120,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2
33,baseline_visit_arm_1,,,13,104,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2
34,baseline_visit_arm_1,,,13,155,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,2
35,baseline_visit_arm_1,,,13,166,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2
36,baseline_visit_arm_1,,,13,162,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,2
37,baseline_visit_arm_1,,,13,130,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2
38,baseline_visit_arm_1,,,13,154,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,2
39,baseline_visit_arm_1,,,13,139,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2
40,baseline_visit_arm_1,,,13,152,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2
41,baseline_visit_arm_1,,,13,136,,,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,2
42,baseline_visit_arm_1,,,13,132,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,2
43,baseline_visit_arm_1,,,13,141,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
44,baseline_visit_arm_1,,,13,149,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2
45,baseline_visit_arm_1,,,13,127,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2
46,baseline_visit_arm_1,,,13,168,,,,01,02,,,,,,,,,,,,,,,,,,,,,,,,,2
47,baseline_visit_arm_1,,,13,148,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,2
48,baseline_visit_arm_1,,,13,153,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1
49,baseline_visit_arm_1,,,13,151,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1
50,baseline_visit_arm_1,,,13,105,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1
51,baseline_visit_arm_1,,,13,111,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1
52,baseline_visit_arm_1,,,13,124,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1
53,baseline_visit_arm_1,,,13,114,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1
54,baseline_visit_arm_1,,,13,118,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1
55,baseline_visit_arm_1,,,13,134,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1
56,baseline_visit_arm_1,,,13,146,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1
57,baseline_visit_arm_1,,,13,110,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,1
