autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_n_accpt,appr_n_rfs,abordaje_vivienda_complete,,,,
307,baseline_visit_arm_1,,,01,105,2,1,1,,747,,
308,baseline_visit_arm_1,,,01,152,5,0,1,,,,
309,baseline_visit_arm_1,,,01,106,0,4,1,,,,
310,baseline_visit_arm_1,,,01,113,2,2,1,,,,
311,baseline_visit_arm_1,,,01,139,4,0,1,,,,
312,baseline_visit_arm_1,,,01,104,1,3,1,,,,
313,baseline_visit_arm_1,,,01,456,4,0,1,,,,
314,baseline_visit_arm_1,,,01,457,0,1,1,,,,
315,baseline_visit_arm_1,,,01,450,3,1,1,,,,
316,baseline_visit_arm_1,,,01,600,4,2,1,,,,
317,baseline_visit_arm_1,,,01,453,5,1,1,,,,
318,baseline_visit_arm_1,,,01,458,2,4,1,,,,
319,baseline_visit_arm_1,,,01,455,0,8,1,,,,
320,baseline_visit_arm_1,,,01,114,1,3,1,,,,
321,baseline_visit_arm_1,,,01,147,4,2,1,,,,
322,baseline_visit_arm_1,,,01,452,6,0,1,,,,
323,baseline_visit_arm_1,,,01,700,3,2,1,,,,
324,baseline_visit_arm_1,,,01,150,5,0,1,,,,
326,baseline_visit_arm_1,,,01,148,4,0,1,,,,
328,baseline_visit_arm_1,,,01,107,3,2,1,,,,
329,baseline_visit_arm_1,,,01,137,1,3,1,,,,
330,baseline_visit_arm_1,,,01,470,1,1,1,,,,
331,baseline_visit_arm_1,,,01,487,2,0,2,,,,
332,baseline_visit_arm_1,,,01,483,2,0,1,,,,
333,baseline_visit_arm_1,,,01,463,2,8,1,,,,
335,baseline_visit_arm_1,,,01,484,0,4,1,,,,
336,baseline_visit_arm_1,,,01,466,0,1,1,,,,
337,baseline_visit_arm_1,,,01,467,1,2,1,,,,
338,baseline_visit_arm_1,,,01,465,2,0,1,,,,
339,baseline_visit_arm_1,,,01,146,3,3,1,,,,
340,baseline_visit_arm_1,,,01,138,2,2,1,,,,
341,baseline_visit_arm_1,,,01,454,1,0,1,,,,
342,baseline_visit_arm_1,,,01,469,1,1,1,,,,
343,baseline_visit_arm_1,,,01,135,0,4,1,,,,
344,baseline_visit_arm_1,,,01,468,2,3,1,,,,
345,baseline_visit_arm_1,,,01,490,1,0,1,,,,
346,baseline_visit_arm_1,,,01,133,4,3,1,,,,
347,baseline_visit_arm_1,,,01,119,0,1,1,,,,
348,baseline_visit_arm_1,,,01,130,4,0,1,,,,
349,baseline_visit_arm_1,,,01,485,4,0,1,,,,
350,baseline_visit_arm_1,,,01,131,1,0,1,,,,
