autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_hh_yn,appr_hh_not,appr_hh_not_other,appr_n_accpt,appr_n_rfs,appr_rfs_rsn_1,appr_rfs_rsn_other_1,appr_rfs_rsn_2,appr_rfs_rsn_other_2,appr_rfs_rsn_3,appr_rfs_rsn_other_3,appr_rfs_rsn_4,appr_rfs_rsn_other_4,appr_rfs_rsn_5,appr_rfs_rsn_other_5,appr_rfs_rsn_6,appr_rfs_rsn_other_6,appr_rfs_rsn_7,appr_rfs_rsn_other_7,appr_rfs_rsn_8,appr_rfs_rsn_other_8,appr_rfs_rsn_9,appr_rfs_rsn_other_9,appr_rfs_rsn_10,appr_rfs_rsn_other_10
1,baseline_visit_arm_1,,,22,106,,,,,,,,,,,,,,,,,,,,,,,,,
2,baseline_visit_arm_1,,,22,113,,,,,,,,,,,,,,,,,,,,,,,,,
3,baseline_visit_arm_1,,,22,109,,,,,,,,,,,,,,,,,,,,,,,,,
4,baseline_visit_arm_1,,,22,575,,,,,,,,,,,,,,,,,,,,,,,,,
5,baseline_visit_arm_1,,,22,119,,,,,,,,,,,,,,,,,,,,,,,,,
6,baseline_visit_arm_1,,,22,117,,,,,,,,,,,,,,,,,,,,,,,,,
7,baseline_visit_arm_1,,,22,101,,,,,,,,,,,,,,,,,,,,,,,,,
8,baseline_visit_arm_1,,,22,450,,,,,,,,,,,,,,,,,,,,,,,,,
9,baseline_visit_arm_1,,,22,108,,,,,,,,,,,,,,,,,,,,,,,,,
10,baseline_visit_arm_1,,,22,107,,,,,,,,,,,,,,,,,,,,,,,,,
11,baseline_visit_arm_1,,,22,111,,,,,,,,,,,,,,,,,,,,,,,,,
12,baseline_visit_arm_1,,,22,112,,,,,,,,,,,,,,,,,,,,,,,,,
13,baseline_visit_arm_1,,,22,102,,,,,,,,,,,,,,,,,,,,,,,,,
14,baseline_visit_arm_1,,,22,103,,,,,,,,,,,,,,,,,,,,,,,,,
15,baseline_visit_arm_1,,,22,105,,,,,,,,,,,,,,,,,,,,,,,,,
16,baseline_visit_arm_1,,,22,120,,,,,,,,,,,,,,,,,,,,,,,,,
17,baseline_visit_arm_1,,,22,121,,,,,,,,,,,,,,,,,,,,,,,,,
18,baseline_visit_arm_1,,,22,850,,,,,,,,,,,,,,,,,,,,,,,,,
19,baseline_visit_arm_1,,,22,851,,,,,,,,,,,,,,,,,,,,,,,,,
20,baseline_visit_arm_1,,,13,169,,,,2,1,,,,,,,,,,,,,,,,,,,,
21,baseline_visit_arm_1,,,13,150,,,,3,1,,,,,,,,,,,,,,,,,,,,
22,baseline_visit_arm_1,,,13,128,,,,2,3,,,,,,,,,,,,,,,,,,,,
23,baseline_visit_arm_1,,,13,160,,,,1,2,,,,,,,,,,,,,,,,,,,,
24,baseline_visit_arm_1,,,13,144,,,,2,2,,,,,,,,,,,,,,,,,,,,
25,baseline_visit_arm_1,,,13,129,,,,2,1,,,,,,,,,,,,,,,,,,,,
26,baseline_visit_arm_1,,,13,450,,,,1,5,,,,,,,,,,,,,,,,,,,,
27,baseline_visit_arm_1,,,13,142,,,,0,3,,,,,,,,,,,,,,,,,,,,
28,baseline_visit_arm_1,,,13,137,,,,0,3,,,,,,,,,,,,,,,,,,,,
29,baseline_visit_arm_1,,,13,131,,,,5,0,,,,,,,,,,,,,,,,,,,,
30,baseline_visit_arm_1,,,13,153,,,,0,7,,,,,,,,,,,,,,,,,,,,
31,baseline_visit_arm_1,,,13,167,,,,1,4,,,,,,,,,,,,,,,,,,,,
32,baseline_visit_arm_1,,,13,120,,,,1,2,,,,,,,,,,,,,,,,,,,,
33,baseline_visit_arm_1,,,13,104,,,,2,1,,,,,,,,,,,,,,,,,,,,
34,baseline_visit_arm_1,,,13,155,,,,2,5,,,,,,,,,,,,,,,,,,,,
35,baseline_visit_arm_1,,,13,166,,,,1,0,,,,,,,,,,,,,,,,,,,,
36,baseline_visit_arm_1,,,13,162,,,,3,2,,,,,,,,,,,,,,,,,,,,
37,baseline_visit_arm_1,,,13,130,,,,3,1,,,,,,,,,,,,,,,,,,,,
38,baseline_visit_arm_1,,,13,154,,,,0,6,,,,,,,,,,,,,,,,,,,,
39,baseline_visit_arm_1,,,13,139,,,,1,2,,,,,,,,,,,,,,,,,,,,
