base_hh_intrvwr,base_hh_vst_date,base_hh_com_code,base_hh_house_code,base_hh_extr_wall,base_hh_mat_wall,base_hh_mat_wall_oth,base_hh_mat_roof,base_hh_mat_roof_oth,base_hh_mat_floor,base_hh_mat_floor_oth,base_hh_num_sleep_spce,base_hh_wtr_source,base_hh_wtr_source_oth,base_hh_electrct,base_hh_electrct_hrs,base_hh_spryd_insect,base_hh_reside_time,base_hh_reside_yrs,base_hh_reside_mnth,base_hh_net_noninsect,base_hh_net_insect,base_hh_net_deliver,base_hh_net_hohh,base_hh_net_tx,base_hh_net_tx_time,base_hh_hohh_trvl,base_hh_trvl_quant,base_hh_trvl_ovrnght,base_hh_nights_spent,base_hh_destin,base_hh_trip_reasn___1,base_hh_trip_reasn___2,base_hh_trip_reasn___3,base_hh_trip_reasn___4,base_hh_trip_reasn___5,base_hh_trip_reasn___6,base_hh_trip_reasn___99,base_hh_trip_reasn_oth,base_hh_trip_wrk___0,base_hh_trip_wrk___1,base_hh_trip_wrk___2,base_hh_trip_wrk___3,base_hh_trip_wrk___4,base_hh_trip_wrk___5,base_hh_trip_wrk___6,base_hh_trip_wrk___7,base_hh_trip_wrk___8,base_hh_trip_wrk___9,base_hh_trip_wrk___99,base_hh_trip_wrk_oth,base_hh_trip_trnsprt___1,base_hh_trip_trnsprt___2,base_hh_trip_trnsprt___3,base_hh_trip_trnsprt___4,base_hh_trip_trnsprt___99,base_hh_trip_trnsprt_oth,base_hh_sleep_plce___1,base_hh_sleep_plce___2,base_hh_sleep_plce___3,base_hh_sleep_plce___99,base_hh_plce_oth,base_hh_net_plce1,base_hh_net_plce2,base_hh_net_plce3,base_hh_net_plce4,encuesta_basal_household_complete
8,2024-10-14,22,106,2,2,,3,,3,,3,5,,2,,2,2,13,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
8,2024-10-14,22,113,2,2,,3,,1,,2,5,,2,,2,1,,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
6,2024-10-14,22,109,2,2,,3,,3,,2,5,,2,,2,2,21,,2,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-14,22,575,2,2,,3,,2,,1,5,,2,,2,2,21,,0,1,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-14,22,119,2,2,,3,,2,,1,5,,2,,2,1,,,0,3,1,1,1,1,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-14,22,117,3,2,,3,,2,,1,5,,2,,2,1,,,4,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-14,22,101,2,2,,3,,2,,1,5,,3,23,2,1,,,2,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-14,22,450,2,2,,5,,2,,1,5,,3,23,2,3,,4,2,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-14,22,108,1,2,,3,,2,,1,5,,2,,2,2,10,,3,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-14,22,107,1,2,,5,,2,,1,5,,2,,2,1,,,2,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
