Comm_code,Community,ind_enrolled,refused,total_ind,hh_enrolled,total_hh
01,Nina Rumi,505,375,880,186,203
02,Zungarococha,514,293,807,186,203
03,Cahuide,441,370,811,202,230
04,13 de Febrero ,362,262,624,153,165
05,Ex petrolero,396,345,741,168,192
06,Samito,189,101,290,80,83
07,Diamante ,271,129,400,107,112
08,San Lucas,154,73,227,66,69
09,Moralillo,96,32,128,42,48
10,Pena Negra,398,361,759,167,187
11,Nuevo Horizonte,115,95,210,55,68
12,Libertad,151,45,196,50,54
13,Puerto Almendra,131,98,229,52,56
14,Tarapoto,130,46,176,46,46
15,Nuevo Milagro,123,72,195,49,52
16,San Antonio-SJB,88,64,152,42,53
17,Momoncillo,86,53,139,33,35
18,Paujil I ,65,36,101,30,30
20,Huaturi,68,57,125,32,35
21,Salvador,43,23,66,17,17
22,Palo Seco,33,,49,19,21
23,Nuevo San Antonio,44,12,56,15,16
24,Loboyacu,32,31,63,11,15
25,Santo tomas,31,16,47,13,15
26,Pisco,22,12,34,11,11
27,San Antonio- Punchana,83,75,158,37,42
28,Mishana,40,27,67,20,20
29,Fray Martin,78,38,116,33,37
31,Flor de Agosto,23,9,32,11,11
32,Almirante Miguel Grau,17,10,27,4,4
