Comm_code,total_accpt,total_rfs,total_ind,house_accpt,total_hh,pct_accepted,pct_refused,,,,,,,
01,505,375,880,188,235,57.4,42.6,,,,,,,
02,514,293,807,186,203,63.7,36.3,,,,,,,
03,441,370,811,202,230,54.4,45.6,,,,,,,
04,362,262,624,154,165,58,42,,,,,,,
05,396,345,741,169,192,53.4,46.6,,,,,,,
06,189,101,290,81,83,65.2,34.8,,,,,,,
07,271,129,400,107,112,67.8,32.2,,,,,,,
08,154,73,227,67,69,67.8,32.2,,,,,,,
09,96,32,128,43,48,75,25,,,,,,,
10,398,361,759,168,187,52.4,47.6,,,,,,,
11,115,95,210,55,68,54.8,45.2,,,,,,,
12,151,45,196,51,54,77,23,,,,,,,
13,131,98,229,52,56,57.2,42.8,,,,,,,
14,130,46,176,46,46,73.9,26.1,,,,,,,
15,123,72,195,49,52,63.1,36.9,,,,,,,
16,88,64,152,43,53,57.9,42.1,,,,,,,
17,86,53,139,33,35,61.9,38.1,,,,,,,
18,65,36,101,30,30,64.4,35.6,,,,,,,
20,68,57,125,32,35,54.4,45.6,,,,,,,
21,43,23,66,17,17,65.2,34.8,,,,,,,
22,33,,49,19,21,,,,,,,,,
23,44,12,56,15,16,78.6,21.4,,,,,,,
24,36,36,72,14,17,50,50,,,,,,,
25,31,16,47,13,15,66,34,,,,,,,
26,22,12,34,11,11,64.7,35.3,,,,,,,
27,83,75,158,38,42,52.5,47.5,,,,,,,
28,40,27,67,20,20,59.7,40.3,,,,,,,
29,78,38,116,34,37,67.2,32.8,,,,,,,
31,23,9,32,11,11,71.9,28.1,,,,,,,
32,17,10,27,4,4,63,37,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
