Community Code,Household code,Individual code,Enrollment date
01,105,01302,11/1/24
01,105,01308,11/1/24
01,105,01313,11/2/24
01,152,01303,11/1/24
01,152,01304,11/1/24
01,152,01305,11/1/24
01,152,01306,11/1/24
01,152,01307,11/1/24
01,113,01402,11/1/24
01,113,01403,11/1/24
01,139,01404,11/1/24
01,139,01405,11/1/24
01,139,01406,11/1/24
01,139,01407,11/1/24
01,104,01102,11/1/24
01,104,01111,11/2/24
01,456,01103,11/1/24
01,456,01104,11/1/24
01,456,01105,11/1/24
01,456,01106,11/1/24
01,450,01001,11/1/24
01,450,01002,11/1/24
01,450,01003,11/1/24
01,600,01004,11/1/24
01,600,01005,11/1/24
01,600,01006,11/1/24
01,600,01007,11/1/24
01,453,01672,11/1/24
01,453,01673,11/1/24
01,453,01674,11/1/24
01,453,01675,11/1/24
01,453,01676,11/1/24
01,458,01677,11/1/24
01,458,01678,11/1/24
01,114,01602,11/1/24
01,114,01607,11/1/24
01,114,01608,11/1/24
01,114,01609,11/1/24
01,147,01603,11/1/24
01,147,01604,11/1/24
01,147,01605,11/1/24
01,147,01606,11/1/24
01,147,01666,11/13/24
01,452,01202,11/1/24
01,452,01203,11/1/24
01,452,01204,11/1/24
01,452,01205,11/1/24
01,452,01206,11/1/24
01,452,01207,11/1/24
01,700,01502,11/1/24
01,700,01503,11/1/24
01,700,01504,11/1/24
01,150,01505,11/1/24
01,150,01506,11/1/24
01,150,01507,11/1/24
01,150,01508,11/1/24
01,150,01509,11/2/24
01,148,01309,11/2/24
01,148,01310,11/2/24
01,148,01311,11/2/24
01,148,01312,11/2/24
01,107,01008,11/2/24
01,107,01009,11/2/24
01,107,01010,11/2/24
01,137,01610,11/2/24
01,470,01611,11/2/24
01,487,01612,11/2/24
01,487,01613,11/2/24
01,483,01107,11/2/24
01,483,01108,11/2/24
01,463,01109,11/2/24
01,463,01110,11/2/24
01,467,01679,11/2/24
01,465,01680,11/2/24
01,465,01681,11/2/24
01,146,01510,11/2/24
01,146,01511,11/2/24
01,146,01512,11/2/24
01,138,01408,11/2/24
01,138,01409,11/2/24
01,454,01208,11/2/24
01,469,01209,11/2/24
01,468,01410,11/3/24
01,468,01411,11/3/24
01,490,01412,11/3/24
01,133,01413,11/3/24
01,133,01414,11/3/24
01,133,01415,11/3/24
01,133,01416,11/3/24
01,130,01314,11/3/24
01,130,01315,11/3/24
01,130,01316,11/3/24
01,130,01321,11/3/24
01,485,01317,11/3/24
01,485,01318,11/3/24
01,485,01319,11/3/24
01,485,01320,11/3/24
01,131,01113,11/3/24
01,486,01114,11/3/24
01,489,01682,11/3/24
01,488,01683,11/3/24
01,488,01684,11/3/24
01,488,01685,11/3/24
01,488,01686,11/3/24
01,481,01011,11/3/24
01,481,01012,11/3/24
01,481,01013,11/3/24
01,481,01014,11/3/24
01,124,01614,11/3/24
01,124,01615,11/3/24
01,124,01616,11/3/24
01,124,01617,11/3/24
01,124,01667,11/13/24
01,477,01210,11/3/24
01,477,01211,11/3/24
01,477,01212,11/3/24
01,471,01213,11/3/24
01,480,01214,11/3/24
01,480,01215,11/3/24
01,480,01216,11/3/24
01,480,01217,11/3/24
01,480,01218,11/3/24
01,480,01219,11/3/24
01,132,01513,11/3/24
01,132,01514,11/3/24
01,132,01515,11/3/24
01,478,01516,11/3/24
01,478,01517,11/3/24
01,478,01518,11/3/24
01,178,01322,11/4/24
01,178,01323,11/4/24
01,178,01324,11/4/24
01,178,01325,11/4/24
01,178,01326,11/4/24
01,507,01327,11/4/24
01,507,01328,11/4/24
01,507,01329,11/4/24
01,512,01330,11/4/24
01,512,01331,11/4/24
01,179,01687,11/4/24
01,179,01688,11/4/24
01,206,01689,11/4/24
01,206,01690,11/4/24
01,207,01691,11/4/24
01,207,01692,11/4/24
01,219,01693,11/4/24
01,219,01694,11/4/24
01,219,01695,11/4/24
01,219,01696,11/4/24
01,173,01618,11/4/24
01,173,01619,11/4/24
01,173,01627,11/4/24
01,193,01620,11/4/24
01,197,01621,11/4/24
01,197,01622,11/4/24
01,203,01623,11/4/24
01,202,01624,11/4/24
01,202,01625,11/4/24
01,202,01626,11/4/24
01,174,01519,11/4/24
01,192,01520,11/4/24
01,198,01521,11/4/24
01,198,01522,11/4/24
01,198,01528,11/4/24
01,198,01529,11/4/24
01,198,01530,11/4/24
01,199,01523,11/4/24
01,199,01524,11/4/24
01,199,01525,11/4/24
01,199,01526,11/4/24
01,199,01527,11/4/24
01,180,01417,11/4/24
01,183,01418,11/4/24
01,503,01419,11/4/24
01,503,01447,11/9/24
01,503,01448,11/9/24
01,503,01449,11/9/24
01,493,01420,11/4/24
01,493,01421,11/4/24
01,209,01422,11/4/24
01,511,01423,11/4/24
01,511,01424,11/4/24
01,511,01425,11/4/24
01,511,01426,11/4/24
01,495,01015,11/4/24
01,495,01016,11/4/24
01,495,01021,11/4/24
01,497,01017,11/4/24
01,172,01018,11/4/24
01,172,01019,11/4/24
01,172,01020,11/4/24
01,181,01022,11/4/24
01,181,01023,11/4/24
01,181,01024,11/4/24
01,181,01025,11/5/24
01,494,01220,11/4/24
01,189,01221,11/4/24
01,195,01222,11/4/24
01,195,01223,11/4/24
01,195,01224,11/4/24
01,195,01238,11/7/24
01,195,01239,11/7/24
01,182,01225,11/4/24
01,182,01226,11/4/24
01,182,01227,11/4/24
01,182,01228,11/4/24
01,182,01229,11/4/24
01,156,01115,11/4/24
01,156,01116,11/4/24
01,156,01123,11/4/24
01,156,01124,11/4/24
01,156,01125,11/4/24
01,156,01126,11/4/24
01,141,01117,11/4/24
01,141,01728,11/13/24
01,141,01729,11/13/24
01,155,01118,11/4/24
01,155,01119,11/4/24
01,155,01120,11/4/24
01,210,01121,11/4/24
01,210,01122,11/4/24
01,524,01332,11/6/24
01,521,01333,11/6/24
01,521,01334,11/6/24
01,521,01335,11/6/24
01,521,01336,11/6/24
01,521,01337,11/6/24
01,229,01531,11/6/24
01,229,01532,11/6/24
01,520,01533,11/6/24
01,520,01534,11/6/24
01,242,01535,11/6/24
01,242,01536,11/6/24
01,461,01026,11/6/24
01,460,01027,11/6/24
01,460,01028,11/6/24
01,460,01029,11/6/24
01,460,01030,11/6/24
01,227,01628,11/6/24
01,227,01634,11/6/24
01,227,01635,11/6/24
01,519,01629,11/6/24
01,519,01630,11/6/24
01,519,01631,11/6/24
01,519,01632,11/6/24
01,519,01633,11/6/24
01,226,01127,11/6/24
01,226,01131,11/6/24
01,224,01128,11/6/24
01,224,01129,11/6/24
01,224,01130,11/6/24
01,230,01427,11/6/24
01,230,01428,11/6/24
01,230,01429,11/6/24
01,230,01430,11/6/24
01,230,01431,11/6/24
01,230,01432,11/6/24
01,221,01433,11/6/24
01,518,01697,11/6/24
01,518,01698,11/6/24
01,518,01699,11/6/24
01,522,01700,11/6/24
01,522,01701,11/6/24
01,522,01702,11/6/24
01,522,01703,11/6/24
01,509,01230,11/6/24
01,509,01237,11/7/24
01,510,01231,11/6/24
01,510,01232,11/6/24
01,510,01233,11/6/24
01,231,01338,11/7/24
01,231,01339,11/7/24
01,231,01340,11/7/24
01,266,01341,11/7/24
01,266,01342,11/7/24
01,266,01343,11/7/24
01,265,01344,11/7/24
01,265,01345,11/7/24
01,265,01346,11/7/24
01,265,01347,11/7/24
01,265,01348,11/7/24
01,523,01636,11/7/24
01,523,01637,11/7/24
01,523,01638,11/7/24
01,523,01639,11/7/24
01,538,01640,11/7/24
01,538,01641,11/7/24
01,538,01642,11/7/24
01,528,01031,11/7/24
01,264,01032,11/7/24
01,473,01033,11/7/24
01,499,01034,11/7/24
01,499,01035,11/7/24
01,527,01132,11/7/24
01,530,01133,11/7/24
01,533,01134,11/7/24
01,536,01135,11/7/24
01,536,01136,11/7/24
01,536,01137,11/7/24
01,536,01138,11/7/24
01,241,01234,11/7/24
01,241,01240,11/7/24
01,241,01241,11/7/24
01,205,01235,11/7/24
01,205,01236,11/7/24
01,243,01704,11/7/24
01,244,01705,11/7/24
01,244,01708,11/7/24
01,280,01706,11/7/24
01,279,01707,11/7/24
01,245,01709,11/7/24
01,245,01710,11/7/24
01,245,01711,11/7/24
01,245,01712,11/7/24
01,263,01434,11/7/24
01,263,01435,11/7/24
01,263,01436,11/7/24
01,263,01437,11/7/24
01,263,01438,11/7/24
01,259,01537,11/7/24
01,258,01538,11/7/24
01,258,01539,11/7/24
01,537,01540,11/7/24
01,547,01541,11/8/24
01,548,01542,11/8/24
01,543,01543,11/8/24
01,543,01544,11/8/24
01,543,01545,11/8/24
01,552,01713,11/8/24
01,555,01714,11/8/24
01,568,01715,11/8/24
01,568,01716,11/8/24
01,568,01717,11/8/24
01,214,01036,11/8/24
01,214,01037,11/8/24
01,214,01038,11/8/24
01,145,01039,11/8/24
01,145,01040,11/8/24
01,145,01041,11/8/24
01,145,01042,11/8/24
01,145,01043,11/8/24
01,145,01044,11/8/24
01,500,01139,11/8/24
01,500,01140,11/8/24
01,500,01141,11/8/24
01,500,01144,11/8/24
01,306,01142,11/8/24
01,315,01143,11/8/24
01,315,01358,11/9/24
01,285,01349,11/8/24
01,248,01350,11/8/24
01,248,01351,11/8/24
01,312,01352,11/8/24
01,312,01353,11/8/24
01,312,01354,11/8/24
01,312,01355,11/8/24
01,312,01356,11/8/24
01,312,01357,11/8/24
01,702,01242,11/8/24
01,702,01243,11/8/24
01,702,01244,11/8/24
01,561,01245,11/8/24
01,561,01246,11/8/24
01,561,01247,11/8/24
01,561,01248,11/8/24
01,561,01249,11/8/24
01,549,01643,11/8/24
01,544,01644,11/8/24
01,544,01645,11/8/24
01,544,01646,11/8/24
01,544,01647,11/8/24
01,560,01648,11/8/24
01,560,01649,11/8/24
01,560,01650,11/8/24
01,550,01439,11/8/24
01,534,01440,11/8/24
01,314,01441,11/8/24
01,314,01442,11/8/24
01,314,01443,11/8/24
01,314,01444,11/8/24
01,314,01445,11/8/24
01,314,01446,11/8/24
01,290,01546,11/9/24
01,292,01547,11/9/24
01,329,01548,11/9/24
01,329,01549,11/9/24
01,559,01718,11/9/24
01,559,01719,11/9/24
01,559,01720,11/9/24
01,559,01721,11/9/24
01,328,01722,11/9/24
01,187,01145,11/9/24
01,187,01146,11/9/24
01,187,01147,11/9/24
01,505,01148,11/9/24
01,505,01149,11/9/24
01,569,01045,11/9/24
01,569,01046,11/9/24
01,569,01047,11/9/24
01,569,01049,11/9/24
01,570,01048,11/9/24
01,580,01359,11/9/24
01,580,01360,11/9/24
01,580,01361,11/9/24
01,515,01362,11/9/24
01,514,01450,11/9/24
01,514,01451,11/9/24
01,514,01452,11/9/24
01,297,01651,11/9/24
01,297,01652,11/9/24
01,581,01653,11/9/24
01,581,01654,11/9/24
01,581,01655,11/9/24
01,581,01656,11/9/24
01,581,01657,11/9/24
01,581,01658,11/9/24
01,581,01659,11/9/24
01,558,01250,11/9/24
01,558,01251,11/9/24
01,579,01252,11/9/24
01,579,01253,11/9/24
01,579,01254,11/9/24
01,176,01660,11/10/24
01,176,01661,11/10/24
01,176,01662,11/10/24
01,176,01663,11/10/24
01,176,01664,11/10/24
01,201,01665,11/10/24
01,331,01050,11/10/24
01,331,01051,11/10/24
01,331,01052,11/10/24
01,331,01053,11/10/24
01,574,01363,11/10/24
01,587,01364,11/10/24
01,589,01365,11/10/24
01,588,01723,11/10/24
01,588,01724,11/10/24
01,588,01725,11/10/24
01,588,01726,11/10/24
01,588,01727,11/10/24
01,584,01453,11/10/24
01,299,01255,11/10/24
01,299,01256,11/10/24
01,299,01257,11/10/24
01,516,01668,11/13/24
01,106,01054,11/13/24
01,106,01055,11/13/24
01,106,01056,11/13/24
01,106,01057,11/13/24
01,650,01454,11/13/24
01,650,01455,11/13/24
01,117,01366,11/13/24
01,117,01367,11/13/24
01,117,01368,11/13/24
01,459,01550,11/13/24
01,476,01258,11/13/24
01,171,01259,11/13/24
01,498,01150,11/13/24
01,498,01151,11/13/24
01,498,01152,11/13/24
01,498,01153,11/13/24
01,501,01369,11/14/24
01,501,01370,11/14/24
01,501,01371,11/14/24
01,501,01372,11/14/24
01,501,01373,11/14/24
01,211,01374,11/14/24
01,211,01375,11/14/24
01,513,01154,11/14/24
01,267,01058,11/14/24
01,267,01059,11/14/24
01,576,01669,11/14/24
01,576,01671,11/14/24
01,576,01180,11/14/24
01,576,01181,11/14/24
01,576,01182,11/14/24
01,576,01183,11/14/24
01,651,01670,11/14/24
01,218,01260,11/14/24
01,218,01261,11/14/24
01,218,01262,11/14/24
01,218,01263,11/14/24
01,218,01264,11/14/24
01,235,01456,11/14/24
01,601,01730,11/14/24
01,601,01731,11/14/24
01,268,01732,11/14/24
01,268,01733,11/14/24
01,268,01734,11/14/24
01,482,01551,11/14/24
01,482,01552,11/14/24
01,213,01553,11/14/24
01,213,01554,11/14/24
01,213,01555,11/14/24
01,213,01556,11/14/24
01,213,01557,11/14/24
02,286,02437,10/19/24
02,286,02438,10/19/24
02,288,02001,10/19/24
02,478,02262,10/19/24
02,277,02263,10/19/24
02,277,02326,10/29/24
02,277,02327,10/29/24
02,477,02613,10/19/24
02,477,02657,10/26/24
02,477,02658,10/26/24
02,477,02662,10/27/24
02,477,02663,10/27/24
02,477,02664,10/27/24
02,294,02614,10/19/24
02,287,02349,10/19/24
02,287,02350,10/19/24
02,287,02351,10/19/24
02,476,02525,10/19/24
02,476,02526,10/19/24
02,476,02527,10/19/24
02,476,02528,10/19/24
02,289,02088,10/19/24
02,289,02089,10/19/24
02,289,02090,10/19/24
02,289,02091,10/19/24
