"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
autonum,abordaje_vivienda,,text,"Número auto-generado",,,,,,,,,,,,,
appr_comm_id,abordaje_vivienda,,dropdown,"Código de comunidad","01, 01 - NINA RUMI | 02, 02 - ZUNGARO COCHA-CORRIENTILLO | 03, 03 - CAHUIDE | 04, 04 - 13 DE FEBRERO | 05, 05 - EX PETROLERO I ZONA | 06, 06 - SAMITO | 07, 07 - DIAMANTE AZUL | 08, 08 - SAN LUCAS | 09, 09 - MORALILLO | 10, 10 - PEÃA NEGRA | 11, 11 - NUEVO HORIZONTE | 12, 12 - LIBERTAD | 13, 13 - PUERTO ALMENDRA | 14, 14 - TARAPOTO | 15, 15 - NUEVO MILAGRO | 16, 16 - SAN ANTONIO | 17, 17 - MOMONCILLO | 18, 18 - PAUJIL I ZONA | 20, 20 - HUATURI | 21, 21 - SALVADOR (PAVA QUEVADA) | 22, 22 - PALO SECO | 23, 23 - NUEVO SAN ANTONIO | 24, 24 - LOBOYACU | 25, 25 - SANTO TOMAS DE CAPIRONAL | 26, 26 - PISCO | 27, 27 - SAN ANTONIO | 28, 28 - MISHANA | 29, 29 - FRAY MARTIN | 31, 31 - FLOR DE AGOSTO | 32, 32 - ALMIRANTE MIGUEL GRAU",,,,,,,y,,,,,
appr_hh_code,abordaje_vivienda,,text,"Codigo de vivienda",,,integer,,,,,y,,,,,
appr_lat_1,abordaje_vivienda,,text,"Latitud de la vivienda (medición 1)",,,,,,,,y,,,,," @LATITUDE"
appr_lon_1,abordaje_vivienda,,text,"Longitud de la vivienda (medición 1)",,,,,,,,y,,,,," @LONGITUDE"
appr_lat_2,abordaje_vivienda,,text,"Latitud de la vivienda (medición 2)",,,,,,,,y,,,,," @LATITUDE"
appr_lon_2,abordaje_vivienda,,text,"Longitud de la vivienda (medición 2)",,,,,,,,y,,,,," @LONGITUDE"
appr_lat_3,abordaje_vivienda,,text,"Latitud de la vivienda (medición 3)",,,,,,,,y,,,,," @LATITUDE"
appr_lon_3,abordaje_vivienda,,text,"Longitud de la vivienda (medición 3)",,,,,,,,y,,,,," @LONGITUDE"
appr_hh_yn,abordaje_vivienda,,dropdown,"¿Se abordo la vivienda?","1, Si | 2, No",,,,,,,y,,,,,
appr_hh_not,abordaje_vivienda,,dropdown,"Razon por la cual no se abordo la vivienda","1, No estaban presentes | 99, Otros",,,,,,"[appr_hh_yn] = '2'",,,,,,
appr_hh_not_other,abordaje_vivienda,,text,"Especificar otra razon",,,,,,,"[appr_hh_not] = '99'",,,,,,
appr_n_accpt,abordaje_vivienda,,text,"Cantidad de personas que aceptan ingresar al estudio",,,integer,0,20,,"[appr_hh_yn] = '1'",y,,,,,
appr_n_rfs,abordaje_vivienda,,text,"Cantidad de personas que no aceptan y/o no pueden ingresar al estudio",,,integer,0,20,,"[appr_hh_yn] = '1'",y,,,,,
appr_rfs_rsn_1,abordaje_vivienda,,dropdown,"Razon de no enrolamiento 1","1, No tiene DNI a mano | 2, Esta ocupado | 3, Padre o madre ausente | 4, Vive en otra casa y le registraremos en la otra casa | 5, No tiene interes de participar en el estudio | 6, Religion | 7, Tiene menos de 6 meses de edad | 8, Viaje | 9, Trabajo | 10, Padre sin DNI | 11, Padre no desea que participe(n) su(s) hijo(s) | 99, Otra",,,,,,"[appr_n_rfs] > 0",y,,,,,
appr_rfs_rsn_other_1,abordaje_vivienda,,text,"Especificar otra razon de no enrolamiento 1",,,,,,,"[appr_rfs_rsn_1] = '99'",,,,,,
appr_rfs_rsn_2,abordaje_vivienda,,dropdown,"Razon de no enrolamiento 2","1, No tiene DNI a mano | 2, Esta ocupado | 3, Padre o madre ausente | 4, Vive en otra casa y le registraremos en la otra casa | 5, No tiene interes de participar en el estudio | 6, Religion | 7, Tiene menos de 6 meses de edad | 8, Viaje | 9, Trabajo | 10, Padre sin DNI | 11, Padre no desea que participe(n) su(s) hijo(s) | 99, Otra",,,,,,"[appr_n_rfs] > 1",y,,,,,
appr_rfs_rsn_other_2,abordaje_vivienda,,text,"Especificar otra razon de no enrolamiento 2",,,,,,,"[appr_rfs_rsn_2] = '99'",,,,,,
appr_rfs_rsn_3,abordaje_vivienda,,dropdown,"Razon de no enrolamiento 3","1, No tiene DNI a mano | 2, Esta ocupado | 3, Padre o madre ausente | 4, Vive en otra casa y le registraremos en la otra casa | 5, No tiene interes de participar en el estudio | 6, Religion | 7, Tiene menos de 6 meses de edad | 8, Viaje | 9, Trabajo | 10, Padre sin DNI | 11, Padre no desea que participe(n) su(s) hijo(s) | 99, Otra",,,,,,"[appr_n_rfs] > 2",y,,,,,
appr_rfs_rsn_other_3,abordaje_vivienda,,text,"Especificar otra razon de no enrolamiento 3",,,,,,,"[appr_rfs_rsn_3] = '99'",,,,,,
appr_rfs_rsn_4,abordaje_vivienda,,dropdown,"Razon de no enrolamiento 4","1, No tiene DNI a mano | 2, Esta ocupado | 3, Padre o madre ausente | 4, Vive en otra casa y le registraremos en la otra casa | 5, No tiene interes de participar en el estudio | 6, Religion | 7, Tiene menos de 6 meses de edad | 8, Viaje | 9, Trabajo | 10, Padre sin DNI | 11, Padre no desea que participe(n) su(s) hijo(s) | 99, Otra",,,,,,"[appr_n_rfs] > 3",y,,,,,
appr_rfs_rsn_other_4,abordaje_vivienda,,text,"Especificar otra razon de no enrolamiento 4",,,,,,,"[appr_rfs_rsn_4] = '99'",,,,,,
