LOC_DIST,test1,LOCALIDAD,DISTRITO,PROVINCIA,POBLACION,casos 2013,casos 2014,casos 2015,casos 2016,casos 2017,casos 2018,casos 2019,IPAs 2013,IPAs 2014,IPAs 2015,IPAs 2016,IPAs 2017,IPAs 2018,IPAs 2019,filtro
ANTIOQUIA_BALSAPUERTO,ANTIOQUIA_BALSAPUERTO,ANTIOQUIA,BALSAPUERTO,ALTO AMAZONAS,274,1,7,5,3,26,31,8,3.65,25.55,18.25,10.95,94.89,113.14,29.2,NO
ATAHUALPA_BALSAPUERTO,ATAHUALPA_BALSAPUERTO,ATAHUALPA,BALSAPUERTO,ALTO AMAZONAS,85,0,0,3,1,2,2,0,0,0,35.29,11.76,23.53,23.53,0,NO
BALSAPUERTO_BALSAPUERTO,BALSAPUERTO_BALSAPUERTO,BALSAPUERTO,BALSAPUERTO,ALTO AMAZONAS,717,0,0,0,9,27,35,13,0,0,0,12.55,37.66,48.81,18.13,NO
BELLAVISTA_BALSAPUERTO,BELLAVISTA_BALSAPUERTO,BELLAVISTA,BALSAPUERTO,ALTO AMAZONAS,257,0,0,3,12,79,58,27,0,0,11.67,46.69,307.39,225.68,105.06,NO
BELLO HORIZONTE_BALSAPUERTO,BELLO HORIZONTE_BALSAPUERTO,BELLO HORIZONTE,BALSAPUERTO,ALTO AMAZONAS,36,0,0,0,1,4,1,0,0,0,0,27.78,111.11,27.78,0,NO
BUENOS AIRES CACHIYACU_BALSAPUERTO,BUENOS AIRES CACHIYACU_BALSAPUERTO,BUENOS AIRES CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,326,0,1,21,14,112,60,6,0,3.07,64.42,42.94,343.56,184.05,18.4,NO
BUENOS AIRES PARANAPURA_BALSAPUERTO,BUENOS AIRES PARANAPURA_BALSAPUERTO,BUENOS AIRES PARANAPURA,BALSAPUERTO,ALTO AMAZONAS,226,0,0,0,4,4,6,0,0,0,0,17.7,17.7,26.55,0,NO
CANOA PUERTO_BALSAPUERTO,CANOA PUERTO_BALSAPUERTO,CANOA PUERTO,BALSAPUERTO,ALTO AMAZONAS,480,0,0,0,0,11,1,0,0,0,0,0,22.92,2.08,0,NO
CENTRO AMERICA_BALSAPUERTO,CENTRO AMERICA_BALSAPUERTO,CENTRO AMERICA,BALSAPUERTO,ALTO AMAZONAS,148,0,0,2,1,2,0,1,0,0,13.51,6.76,13.51,0,6.76,NO
DAMASCO_BALSAPUERTO,DAMASCO_BALSAPUERTO,DAMASCO,BALSAPUERTO,ALTO AMAZONAS,68,0,1,0,0,0,0,0,0,14.71,0,0,0,0,0,NO
FRAY MARTIN_BALSAPUERTO,FRAY MARTIN_BALSAPUERTO,FRAY MARTIN,BALSAPUERTO,ALTO AMAZONAS,393,4,8,2,10,26,30,8,10.18,20.36,5.09,25.45,66.16,76.34,20.36,NO
