LOC_DIS,LOCALIDAD,DISTRITO,PROVINCIA,POBLACION,BASIN,Selected,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,year,cases,api,specie
PETROPOLIS_YAVARI,PETROPOLIS,YAVARI,MARISCAL RAMON CASTILLA,149,NA,No,-70.03667502,-4.34429327,5919,5996,13,13,0,10,Bosque seco tipo sabana,Bss,2013,1,6.711409396,P. falciparum
TUCANO_YAVARI,TUCANO,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.04012363,-4.29057528,5702,5716,203,203,0,2,Bofedal,Bo,2013,0,NA,P. falciparum
ISLANDIA_YAVARI,ISLANDIA,YAVARI,MARISCAL RAMON CASTILLA,1637,NA,No,-70.04129927,-4.35201153,5937,6058,6,6,0,10,Agricultura costera y andina,Agri,2013,68,41.53940134,P. falciparum
CHINERIA_YAVARI,CHINERIA,YAVARI,MARISCAL RAMON CASTILLA,171,NA,No,-70.04330939,-4.16862941,5247,5351,233,233,0,10,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
GAMBOA_YAVARI,GAMBOA,YAVARI,MARISCAL RAMON CASTILLA,139,NA,No,-70.0480375,-4.19321825,5385,5407,319,319,0,2,Areas de no bosque amazï¿½nico,Ano,2013,1,7.194244604,P. falciparum
PUERTO ALEGRIA_YAVARI,PUERTO ALEGRIA,YAVARI,MARISCAL RAMON CASTILLA,478,NA,No,-70.05286856,-4.11670285,4968,4999,0,0,0,17,Pajonal andino,Pj,2013,0,0,P. falciparum
EL ALAMO_YAGUAS,EL ALAMO,YAGUAS,PUTUMAYO,137,NA,No,-70.08688377,-2.79400665,8642,8637,4230,4230,0,2,Area urbana,U,2013,0,0,P. falciparum
SACAMBU_YAVARI,SACAMBU,YAVARI,MARISCAL RAMON CASTILLA,22,NA,No,-70.11087151,-4.24489514,5372,5367,541,541,0,17,Agricultura costera y andina,Agri,2013,3,136.3636364,P. falciparum
YAHUMA I ZONA_RAMON CASTILLA,YAHUMA I ZONA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,122,NA,No,-70.12400129,-4.07231693,4641,4646,314,314,0,2,Pajonal andino,Pj,2013,0,0,P. falciparum
PRIMAVERA_YAGUAS,PRIMAVERA,YAGUAS,PUTUMAYO,137,NA,No,-70.12780663,-2.70651926,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
YAHUMA II ZONA_RAMON CASTILLA,YAHUMA II ZONA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,138,NA,No,-70.14301383,-4.07120198,4614,4615,377,377,0,2,Areas de no bosque amazï¿½nico,Ano,2013,0,0,P. falciparum
SANTA ROSA DE CAUCHILLO_YAGUAS,SANTA ROSA DE CAUCHILLO,YAGUAS,PUTUMAYO,119,NA,No,-70.15526833,-2.77949,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
3 DE NOVIEMBRE_YAVARI,3 DE NOVIEMBRE,YAVARI,MARISCAL RAMON CASTILLA,14,NA,No,-70.156115,-4.201391667,5102,5097,566,566,0,2,Bosque seco tipo sabana,Bss,2013,1,71.42857143,P. falciparum
28 DE JULIO_YAVARI,28 DE JULIO,YAVARI,MARISCAL RAMON CASTILLA,59,NA,No,-70.17874167,-4.194223333,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,118.6440678,P. falciparum
SAN MATEO_YAVARI,SAN MATEO,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.19419562,-4.17830583,4924,4919,553,553,0,2,Area urbana,U,2013,0,NA,P. falciparum
PUERTO ALEGRE_RAMON CASTILLA,PUERTO ALEGRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,0,NA,No,-70.19472296,-3.95154403,4298,4293,462,462,0,2,Area urbana,U,2013,2,Inf,P. falciparum
SAN FRANCISCO DE YAHUMA_RAMON CASTILLA,SAN FRANCISCO DE YAHUMA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.19618551,-4.01319927,4485,4480,265,265,0,2,Bofedal,Bo,2013,0,NA,P. falciparum
