LOC_DIS_mod,test1,test2,LOCALIDAD_mod,DISTRITO_mod,PROVINCIA_mod,LOCALIDAD,DISTRITO,PROVINCIA,BASIN,Selected,MALARIA P. FALCIPARUM 2013,MALARIA POR P. MALARIAE 2013,MALARIA POR P. VIVAX 2013,Total general 2013,MALARIA P. FALCIPARUM 2014,MALARIA POR P. MALARIAE 2014,MALARIA POR P. VIVAX 2014,Total general 2014,MALARIA P. FALCIPARUM 2015,MALARIA POR P. MALARIAE 2015,MALARIA POR P. VIVAX 2015,Total general 2015,MALARIA P. FALCIPARUM 2016,MALARIA POR P. MALARIAE 2016,MALARIA POR P. VIVAX 2016,Total general 2016,MALARIA P. FALCIPARUM 2017,MALARIA POR P. VIVAX 2017,Total general 2017,MALARIA P. FALCIPARUM 2018,MALARIA POR P. VIVAX 2018,Total general 2018,MALARIA P. FALCIPARUM 2019,MALARIA POR P. VIVAX 2019,Total general 2019
1  DE OCTUBRE_RAMON CASTILLA,#N/A,1  DE OCTUBRE_RAMON CASTILLA,1  DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1  DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,No,0,0,2,2,0,0,4,4,NA,NA,NA,NA,0,0,5,5,8,53,61,1,2,3,5,10,15
1  DE SAN MATEO_YAVARI,#N/A,#N/A,1  DE SAN MATEO,YAVARI,MARISCAL RAMON CASTILLA,1  DE SAN MATEO,YAVARI,MARISCAL RAMON CASTILLA,NA,No,0,0,1,1,0,0,1,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA
1  DE SETIEMBRE_RAMON CASTILLA,#N/A,1  DE SETIEMBRE_RAMON CASTILLA,1  DE SETIEMBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1  DE SETIEMBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,No,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,1,1,NA,NA,NA,0,1,1
1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO,MAZAN,MAYNAS,1¶ DE  ENERO,MAZAN,MAYNAS,NA,No,0,0,1,1,5,0,14,19,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO,MAZAN,MAYNAS,1¶ ENERO,MAZAN,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO,MAZAN,MAYNAS,1¶ ENERO RIO MAZAN,MAZAN,MAYNAS,NA,No,11,0,30,41,4,0,14,18,0,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO_MAZAN,1 DE ENERO,MAZAN,MAYNAS,1ro ENERO,MAZAN,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,5,2,38,40,9,22,31,0,7,7
1 DE FEBRERO_NAUTA,1 DE FEBRERO_NAUTA,1 DE FEBRERO_NAUTA,1 DE FEBRERO,NAUTA,LORETO,1 DE FEBRERO KM. 21,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,3,3,0,0,1,1,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE MAYO_NAUTA,1 DE MAYO_NAUTA,1 DE MAYO_NAUTA,1 DE MAYO,NAUTA,LORETO,1  DE MAYO,NAUTA,LORETO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,0,1,1,NA,NA,NA
1 DE MAYO_NAUTA,1 DE MAYO_NAUTA,1 DE MAYO_NAUTA,1 DE MAYO,NAUTA,LORETO,1¶ DE MAYO,NAUTA,LORETO,NA,No,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO,SAN JUAN BAUTISTA,MAYNAS,1  DE MAYO,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,3,3,0,0,3,3,0,0,4,4,1,0,0,1,1,2,3,1,2,3,NA,NA,NA
1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO_SAN JUAN BAUTISTA,1 DE MAYO,SAN JUAN BAUTISTA,MAYNAS,1 DE MAYO,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA
1 DE MAYO_TIGRE,#N/A,1 DE MAYO_TIGRE,1 DE MAYO,TIGRE,LORETO,1  DE MAYO,TIGRE,LORETO,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1 DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,No,15,0,43,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE_RAMON CASTILLA,1 DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1¶ DE OCTUBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,No,NA,NA,NA,NA,0,0,4,4,15,0,72,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 DE SETIEMBRE_RAMON CASTILLA,1 DE SETIEMBRE_RAMON CASTILLA,1 DE SETIEMBRE_RAMON CASTILLA,1 DE SETIEMBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1¶ DE SETIEMBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 DE OCTUBRE I ZONA_SAN JUAN BAUTISTA,10 DE OCTUBRE I ZONA_SAN JUAN BAUTISTA,10 DE OCTUBRE I ZONA_SAN JUAN BAUTISTA,10 DE OCTUBRE I ZONA,SAN JUAN BAUTISTA,MAYNAS,10 DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,NA,No,2,0,10,12,0,0,14,14,0,0,16,16,0,0,8,8,1,3,4,NA,NA,NA,NA,NA,NA
11 DE AGOSTO_JENARO HERRERA,11 DE AGOSTO_JENARO HERRERA,11 DE AGOSTO_JENARO HERRERA,11 DE AGOSTO,JENARO HERRERA,REQUENA,11 DE AGOSTO,JENARO HERRERA,REQUENA,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 DE DICIEMBRE_INDIANA,11 DE DICIEMBRE_INDIANA,11 DE DICIEMBRE_INDIANA,11 DE DICIEMBRE,INDIANA,MAYNAS,11 DE DICIEMBRE,INDIANA,MAYNAS,NA,No,0,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA
11 DE DICIEMBRE_IQUITOS,#N/A,11 DE DICIEMBRE_IQUITOS,11 DE DICIEMBRE,IQUITOS,MAYNAS,11 DE DICIEMBRE,IQUITOS,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA
11 DE NOVIEMBRE_BELEN,11 DE NOVIEMBRE_BELEN,11 DE NOVIEMBRE_BELEN,11 DE NOVIEMBRE,BELEN,MAYNAS,11 DE DICIEMBRE,BELEN,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,12 DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,NA,No,8,0,161,169,1,0,29,30,1,0,41,42,3,0,26,29,1,6,7,0,2,2,NA,NA,NA
12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL_SAN JUAN BAUTISTA,12 DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,DOCE DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE,SAN JUAN BAUTISTA,MAYNAS,12 DE DICIEMBRE,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE_SAN JUAN BAUTISTA,12 DE DICIEMBRE,SAN JUAN BAUTISTA,MAYNAS,12 DICIEMBRE,SAN JUAN BAUTISTA,MAYNAS,NA,No,2,0,39,41,2,0,58,60,1,0,29,30,2,0,5,7,NA,NA,NA,0,2,2,NA,NA,NA
12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,12 OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,NA,No,1,0,18,19,0,0,4,4,3,0,32,35,5,0,16,21,1,1,2,NA,NA,NA,NA,NA,NA
12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE_SAN JUAN BAUTISTA,12 DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,DOCE DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
13 DE FEBRERO_SAN JUAN BAUTISTA,13 DE FEBRERO_SAN JUAN BAUTISTA,13 DE FEBRERO_SAN JUAN BAUTISTA,13 DE FEBRERO,SAN JUAN BAUTISTA,MAYNAS,13 DE FEBRERO,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,71,71,2,0,65,67,2,0,183,185,12,0,162,174,1,61,62,2,13,15,NA,NA,NA
13 DE JULIO_SAN JUAN BAUTISTA,#N/A,13 DE JULIO_SAN JUAN BAUTISTA,13 DE JULIO,SAN JUAN BAUTISTA,MAYNAS,13 DE JULIO,SAN JUAN BAUTISTA,MAYNAS,NA,No,0,0,5,5,0,0,9,9,0,0,56,56,0,0,7,7,0,6,6,0,2,2,NA,NA,NA
13 DE MAYO_MAQUIA,13 DE MAYO_MAQUIA,13 DE MAYO_MAQUIA,13 DE MAYO,MAQUIA,REQUENA,13 DE MAYO,MAQUIA,REQUENA,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14 DE JULIO_MAZAN,14 DE JULIO_MAZAN,14 DE JULIO_MAZAN,14 DE JULIO,MAZAN,MAYNAS,14 DE JULIO,MAZAN,MAYNAS,NA,No,2,0,7,9,4,0,14,18,4,0,22,26,0,0,2,2,1,6,7,2,17,19,NA,NA,NA
15 DE ABRIL_ALTO NANAY,#N/A,#N/A,15 DE ABRIL,ALTO NANAY,MAYNAS,15 DE ABRIL,ALTO NANAY,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,2,NA,NA,NA,NA,2,18,20,0,1,1,NA,NA,NA
15 DE ABRIL_SAN JUAN BAUTISTA,15 DE ABRIL_SAN JUAN BAUTISTA,15 DE ABRIL_SAN JUAN BAUTISTA,15 DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,15 DE ABRIL,SAN JUAN BAUTISTA,MAYNAS,NA,No,2,0,2,4,0,0,10,10,1,0,7,8,0,0,8,8,0,1,1,1,4,5,0,1,1
15 DE FEBRERO_SAN JUAN BAUTISTA,#N/A,#N/A,15 DE FEBRERO,SAN JUAN BAUTISTA,MAYNAS,15 DE FEBRERO,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15 DE NOVIEMBRE_BELEN,#N/A,15 DE NOVIEMBRE_BELEN,15 DE NOVIEMBRE,BELEN,MAYNAS,15 DE NOVIEMBRE,BELEN,MAYNAS,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 DE JUNIO_SAN JUAN BAUTISTA,#N/A,16 DE JUNIO_SAN JUAN BAUTISTA,16 DE JUNIO,SAN JUAN BAUTISTA,MAYNAS,16 JUNIO,SAN JUAN BAUTISTA,MAYNAS,NA,No,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607011101_BARRANCA,#N/A,1607011101_BARRANCA,1607011101,BARRANCA,DATEM DEL MARA—ON,1607011101,BARRANCA,DATEM DEL MARA—ON,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA
