"","village_district","Village","District","Province","Latitude","Longitude","Population.size","dist_minutes_cat1","dist_minutes_cat3","X2021","X2022","order","ipa.2021","ipa.2022"
"1","NINA RUMI_SAN JUAN BAUTISTA","NINA RUMI","SAN JUAN BAUTISTA","Maynas",-73.38648037,-3.84512812,649,0,53,6,72,69,9.244992296,110.9399076
"2","ZUNGARO COCHA-CORRIENTILLO_SAN JUAN BAUTISTA","ZUNGARO COCHA-CORRIENTILLO","SAN JUAN BAUTISTA","Maynas",-73.3551862,-3.82805974,645,6,46,22,20,99,34.10852713,31.00775194
"3","CAHUIDE_SAN JUAN BAUTISTA","CAHUIDE","SAN JUAN BAUTISTA","Maynas",-73.48777991,-4.23102361,639,29,100,2,3,60,3.129890454,4.694835681
"4","13 DE FEBRERO_SAN JUAN BAUTISTA","13 DE FEBRERO","SAN JUAN BAUTISTA","Maynas",-73.43294795,-4.02103626,576,6,70,3,4,55,5.208333333,6.944444444
"5","EX PETROLERO I ZONA_SAN JUAN BAUTISTA","EX PETROLERO I ZONA","SAN JUAN BAUTISTA","Maynas",-73.45320074,-4.09183465,489,8,80,2,15,63,4.08997955,30.67484663
"6","SAMITO_ALTO NANAY","SAMITO","ALTO NANAY","Maynas",-73.61331156,-3.86555406,438,18,483,13,68,13,29.6803653,155.2511416
"7","DIAMANTE AZUL_ALTO NANAY","DIAMANTE AZUL","ALTO NANAY","Maynas",-73.7794579,-3.9005405,425,0,177,140,46,3,329.4117647,108.2352941
"8","SAN LUCAS_SAN JUAN BAUTISTA","SAN LUCAS","SAN JUAN BAUTISTA","Maynas",-73.45425593,-4.10327409,408,8,80,1,5,88,2.450980392,12.25490196
"9","MORALILLO_SAN JUAN BAUTISTA","MORALILLO","SAN JUAN BAUTISTA","Maynas",-73.33875707,-3.91011222,396,4,49,0,7,68,0,17.67676768
"10","PEÑA NEGRA_SAN JUAN BAUTISTA","PEÑA NEGRA","SAN JUAN BAUTISTA","Maynas",-73.33817614,-3.86343656,367,3,48,0,9,80,0,24.52316076
